content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
"la aplicación está presentando muchas fallas primero dejo de reconocer mi dispositivo como el principal y no me dejó hacer transferencias y pago, ahora al desinstalar y volver a instalar no abre la aplicación",1,3,aplicación presentando muchas fallas primero dejo reconocer dispositivo principal dejó hacer transferencias pago ahora desinstalar volver instalar abre aplicación,aplicacion presentando muchas fallas primero dejo reconocer dispositivo principal dejo hacer transferencias pago ahora desinstalar volver instalar abre aplicacion,aplicacion presentar mucho falla primero dejar reconocer dispositivo principal dejar hacer transferencia pago ahora desinstalar volver instalar abrir aplicacion,"['aplicacion', 'presentar', 'mucho', 'falla', 'primero', 'dejar', 'reconocer', 'dispositivo', 'principal', 'dejar', 'hacer', 'transferencia', 'pago', 'ahora', 'desinstalar', 'volver', 'instalar', 'abrir', 'aplicacion']"
"Muy pesimo servicio al momento de pagar se quedo congelado mas de una vez y su velocidad de pago pesimo ..!! y para evitar esto contraten a gente que sepa hacer una app , ya que hablamos del bancoSol ...!!! tiene gente inutil en su area de desarrollo de software ...!!",1,28,pesimo servicio momento pagar quedo congelado mas vez velocidad pago pesimo evitar contraten gente sepa hacer app hablamos bancosol gente inutil area desarrollo software,pesimo servicio momento pagar quedo congelado mas vez velocidad pago pesimo evitar contraten gente sepa hacer app hablamos bancosol gente inutil area desarrollo software,pesimo servicio momento pagar quedo congelado mas vez velocidad pago pesimo evitar contratar gente sepa hacer app hablar bancosol gente inutil areo desarrollo software,"['pesimo', 'servicio', 'momento', 'pagar', 'quedo', 'congelado', 'mas', 'vez', 'velocidad', 'pago', 'pesimo', 'evitar', 'contratar', 'gente', 'sepa', 'hacer', 'app', 'hablar', 'bancosol', 'gente', 'inutil', 'areo', 'desarrollo', 'software']"
muy lento ala hora de transferir,1,0,lento ala hora transferir,lento ala hora transferir,lento ala horo transferir,"['lento', 'ala', 'horo', 'transferir']"
pésima,1,0,pésima,pesima,pesimo,['pesimo']
"A un principio funcionó muy bien, pero después de la actualización no me permite ingresar",2,0,principio funcionó bien después actualización permite ingresar,principio funciono bien despues actualizacion permite ingresar,principio funciono bien despues actualizacion permitir ingresar,"['principio', 'funciono', 'bien', 'despues', 'actualizacion', 'permitir', 'ingresar']"
la peor app de banca móvil,1,0,peor app banca móvil,peor app banca movil,peor app banca movil,"['peor', 'app', 'banca', 'movil']"
muy buena,5,0,buena,buena,buen,['buen']
deberían mejorar el sistema no puedo entrar ala aplicación error dice todo el tiempo,1,3,deberían mejorar sistema puedo entrar ala aplicación error dice tiempo,deberian mejorar sistema puedo entrar ala aplicacion error dice tiempo,deberiar mejorar sistema poder entrar ala aplicacion error decir tiempo,"['deberiar', 'mejorar', 'sistema', 'poder', 'entrar', 'ala', 'aplicacion', 'error', 'decir', 'tiempo']"
hola como estan buenos dias. quiero hacer una pregunta porque me sale error al querer crear mi cuenta de Altoke ingreso mi numero de carnet luego mi número y luego le doy entrar y no quiere me sale error intentalo denuevo dentro de un minuto lo intento denuevo detro de un minuto y me sale lo mismo me puede dar una solucion a ese problemita porfabor ¡Garcias!,5,95,hola estan buenos dias quiero hacer pregunta sale error querer crear cuenta altoke ingreso numero carnet luego número luego doy entrar quiere sale error intentalo denuevo dentro minuto intento denuevo detro minuto sale mismo puede dar solucion problemita porfabor ¡garcias,hola estan buenos dias quiero hacer pregunta sale error querer crear cuenta altoke ingreso numero carnet luego numero luego doy entrar quiere sale error intentalo denuevo dentro minuto intento denuevo detro minuto sale mismo puede dar solucion problemita porfabor ¡garcias,hola estar buen dia querer hacer pregunta salir error querer crear cuenta altoke ingreso numero carnet luego numero luego dar entrar querer salir error intentalo denuevo dentro minuto intento denuevo detro minuto salir mismo poder dar solucion problemitar porfabor,"['hola', 'estar', 'buen', 'dia', 'querer', 'hacer', 'pregunta', 'salir', 'error', 'querer', 'crear', 'cuenta', 'altoke', 'ingreso', 'numero', 'carnet', 'luego', 'numero', 'luego', 'dar', 'entrar', 'querer', 'salir', 'error', 'intentalo', 'denuevo', 'dentro', 'minuto', 'intento', 'denuevo', 'detro', 'minuto', 'salir', 'mismo', 'poder', 'dar', 'solucion', 'problemitar', 'porfabor']"
malaso muy lento,1,0,malaso lento,malaso lento,malaso lento,"['malaso', 'lento']"
pesima aplicacion dos veces ya lo instale y me decepciono dos veces 3 dias para poder sacar dinero es horrible,1,1,pesima aplicacion dos veces instale decepciono dos veces dias poder sacar dinero horrible,pesima aplicacion dos veces instale decepciono dos veces dias poder sacar dinero horrible,pesimar aplicacion dos vez instalar decepciono dos vez dia poder sacar dinero horrible,"['pesimar', 'aplicacion', 'dos', 'vez', 'instalar', 'decepciono', 'dos', 'vez', 'dia', 'poder', 'sacar', 'dinero', 'horrible']"
muy buena aplicacion... quisiera compartirla con mis contacto pero nose puede compartir,5,1,buena aplicacion quisiera compartirla contacto nose puede compartir,buena aplicacion quisiera compartirla contacto nose puede compartir,buen aplicacion querer compartir él contacto no él poder compartir,"['buen', 'aplicacion', 'querer', 'compartir', 'él', 'contacto', 'no', 'él', 'poder', 'compartir']"
"no me da la aplicación, quiero abrir mi cuenta y no me sale para poner mi usuario y contraseña, más que una pantalla naranja.",1,1,da aplicación quiero abrir cuenta sale poner usuario contraseña pantalla naranja,da aplicacion quiero abrir cuenta sale poner usuario contrasena pantalla naranja,aplicacion querer abrir cuenta salir poner usuario contrasena pantalla naranjo,"['aplicacion', 'querer', 'abrir', 'cuenta', 'salir', 'poner', 'usuario', 'contrasena', 'pantalla', 'naranjo']"
hice un depósito y ya va media hora y no llega el dinero a mi cuenta muy pésima su aplicación,1,2,hice depósito va media hora llega dinero cuenta pésima aplicación,hice deposito va media hora llega dinero cuenta pesima aplicacion,hacer deposito medio hora llegar dinero cuenta pesima aplicacion,"['hacer', 'deposito', 'medio', 'hora', 'llegar', 'dinero', 'cuenta', 'pesima', 'aplicacion']"
no me gusta que tengo que esperar días para crear mi cuenta '_',5,0,gusta esperar días crear cuenta,gusta esperar dias crear cuenta,gustar esperar dia crear cuenta,"['gustar', 'esperar', 'dia', 'crear', 'cuenta']"
buenos,5,0,buenos,buenos,buen,['buen']
Muy lenta esta app al momento de hacer transferencia,1,0,lenta app momento hacer transferencia,lenta app momento hacer transferencia,lento app momento hacer transferencia,"['lento', 'app', 'momento', 'hacer', 'transferencia']"
buena,4,1,buena,buena,buen,['buen']
es excelente en Altoke mi preferido,5,1,excelente altoke preferido,excelente altoke preferido,excelente altoke preferido,"['excelente', 'altoke', 'preferido']"
la mejor aplicación para tener tu dinero enserió me en canta,5,1,mejor aplicación tener dinero enserió canta,mejor aplicacion tener dinero enserio canta,mejor aplicacion tener dinero enserio cantar,"['mejor', 'aplicacion', 'tener', 'dinero', 'enserio', 'cantar']"
se lo comió mis 4 bs.,1,0,comió bs,comio bs,comio,['comio']
muy bien,5,0,bien,bien,bien,['bien']
excelente,5,0,excelente,excelente,excelente,['excelente']
no me deja pagar,1,0,deja pagar,deja pagar,dejar pagar,"['dejar', 'pagar']"
basura,1,0,basura,basura,basura,['basura']
no me dejaa,2,0,dejaa,dejaa,dejaa,['dejaa']
"completa basura obsoleta, tiene un sistema de pago muy lento",1,2,completa basura obsoleta sistema pago lento,completa basura obsoleta sistema pago lento,completo basura obsoleta sistema pago lento,"['completo', 'basura', 'obsoleta', 'sistema', 'pago', 'lento']"
es bueno,4,0,bueno,bueno,bueno,['bueno']
buena,5,0,buena,buena,buen,['buen']
"no sirve nunca carga, llevo todo el día intentando y nada .......",1,0,sirve nunca carga llevo día intentando,sirve nunca carga llevo dia intentando,servir nunca carga llevar dia intentar,"['servir', 'nunca', 'carga', 'llevar', 'dia', 'intentar']"
"terrible y todo el tiempo se tranca, además de q no te permite grabar çuentas ni remitentes para depositar directamente sin la necesidad de escribir cada vez el número de cuenta y el nombre completo, una porquería",1,8,terrible tiempo tranca además q permite grabar çuentas remitentes depositar directamente necesidad escribir cada vez número cuenta nombre completo porquería,terrible tiempo tranca ademas q permite grabar cuentas remitentes depositar directamente necesidad escribir cada vez numero cuenta nombre completo porqueria,terrible tiempo tranca adema permitir grabar cuenta remitent depositar directamente necesidad escribir cada vez numero contar nombre completo porqueria,"['terrible', 'tiempo', 'tranca', 'adema', 'permitir', 'grabar', 'cuenta', 'remitent', 'depositar', 'directamente', 'necesidad', 'escribir', 'cada', 'vez', 'numero', 'contar', 'nombre', 'completo', 'porqueria']"
luego estoy para empezar,5,0,luego empezar,luego empezar,luego empezar,"['luego', 'empezar']"
sería que implementen los pagos net ya que es muy necesario para hacer alguna transacción o una recarga para algunas aplicaciones móviles,5,1,implementen pagos net necesario hacer alguna transacción recarga aplicaciones móviles,implementen pagos net necesario hacer alguna transaccion recarga aplicaciones moviles,implementar pago net necesario hacer alguno transaccion recargar aplicación movil,"['implementar', 'pago', 'net', 'necesario', 'hacer', 'alguno', 'transaccion', 'recargar', 'aplicación', 'movil']"
la aplicación no es confíable por qué te pueden jaquerar al instante con tan solo tener tu cuere me pasó ya esto,1,0,aplicación confíable pueden jaquerar instante tan solo tener cuere pasó,aplicacion confiable pueden jaquerar instante tan solo tener cuere paso,aplicacion confiable poder jaquerar instante tanto solo tener curar paso,"['aplicacion', 'confiable', 'poder', 'jaquerar', 'instante', 'tanto', 'solo', 'tener', 'curar', 'paso']"
"malísima está app, me acaban de realizar una transacción de exactamente 214 bs , y no me llego a mí cuenta de altoke y ahora no me deja abrir la aplicación .",1,5,malísima app acaban realizar transacción exactamente bs llego cuenta altoke ahora deja abrir aplicación,malisima app acaban realizar transaccion exactamente bs llego cuenta altoke ahora deja abrir aplicacion,malisimo app acabar realizar transaccion exactamente llego contar altoke ahora dejar abrir aplicacion,"['malisimo', 'app', 'acabar', 'realizar', 'transaccion', 'exactamente', 'llego', 'contar', 'altoke', 'ahora', 'dejar', 'abrir', 'aplicacion']"
"3 estrellas porque la verdad me parece bien tiene buena interfaz funciones accesibles, pero lo que no me agradó es que para poder hacer una transacción te pidan la ubicación qué necesidad eso deberían corregir 😬",3,13,estrellas verdad parece bien buena interfaz funciones accesibles agradó poder hacer transacción pidan ubicación necesidad deberían corregir 😬,estrellas verdad parece bien buena interfaz funciones accesibles agrado poder hacer transaccion pidan ubicacion necesidad deberian corregir 😬,estrella verdad parecer bien buen interfaz función accesibl agrado poder hacer transaccion pedir ubicacion necesidad deberiar corregir,"['estrella', 'verdad', 'parecer', 'bien', 'buen', 'interfaz', 'función', 'accesibl', 'agrado', 'poder', 'hacer', 'transaccion', 'pedir', 'ubicacion', 'necesidad', 'deberiar', 'corregir']"
"Pele la aplicación muy lento y no carga rapido tarda artisimo y sale error, no la recomiendo descargar para uso personal, no se puede ni depositar a otro Qr para sacar el dinero de ahí, ahora nose como aser a mi me está costando arto para poder retirar mi dinero, nose que aser por eso no lo descarguen",1,38,pele aplicación lento carga rapido tarda artisimo sale error recomiendo descargar uso personal puede depositar qr sacar dinero ahí ahora nose aser costando arto poder retirar dinero nose aser descarguen,pele aplicacion lento carga rapido tarda artisimo sale error recomiendo descargar uso personal puede depositar qr sacar dinero ahi ahora nose hacer costando arto poder retirar dinero nose hacer descarguen,pelir aplicacion lento carga rapido tardar artisimo salir error recomeir descargar uso personal poder depositar sacar dinero ahi ahora no él hacer costar arto poder retirar dinero no él hacer descargar,"['pelir', 'aplicacion', 'lento', 'carga', 'rapido', 'tardar', 'artisimo', 'salir', 'error', 'recomeir', 'descargar', 'uso', 'personal', 'poder', 'depositar', 'sacar', 'dinero', 'ahi', 'ahora', 'no', 'él', 'hacer', 'costar', 'arto', 'poder', 'retirar', 'dinero', 'no', 'él', 'hacer', 'descargar']"
está lento para ser pagos y no hace los pago sale error de servicio arreglen eso ya es muy seguido,2,1,lento ser pagos hace pago sale error servicio arreglen seguido,lento ser pagos hace pago sale error servicio arreglen seguido,lento ser pago hacer pago salir error servicio arreglir seguido,"['lento', 'ser', 'pago', 'hacer', 'pago', 'salir', 'error', 'servicio', 'arreglir', 'seguido']"
me gusta hasta hora no tengo problema,5,2,gusta hora problema,gusta hora problema,gustar horo problema,"['gustar', 'horo', 'problema']"
no me gustó por que se vuelve lento en ocasiones y te hace dudar si pagó o no,2,1,gustó vuelve lento ocasiones hace dudar si pagó,gusto vuelve lento ocasiones hace dudar si pago,gusto volver lento ocasión hacer dudar pago,"['gusto', 'volver', 'lento', 'ocasión', 'hacer', 'dudar', 'pago']"
"la peor billetera móvil, me retuvieron dinero por casi un mes.",1,1,peor billetera móvil retuvieron dinero casi mes,peor billetera movil retuvieron dinero casi mes,peor billetera movil retener dinero casi mes,"['peor', 'billetera', 'movil', 'retener', 'dinero', 'casi', 'mes']"
muy buena,5,0,buena,buena,buen,['buen']
es bien la app,4,0,bien app,bien app,bien app,"['bien', 'app']"
Pésimo servicio se cuelga no genera el Qr sale que tiene error y es muy muy lento.,1,0,pésimo servicio cuelga genera qr sale error lento,pesimo servicio cuelga genera qr sale error lento,pesimo servicio colgar generar salir error lento,"['pesimo', 'servicio', 'colgar', 'generar', 'salir', 'error', 'lento']"
"Esta muy lento, y a veces no reconoce de apps de otros bancos",5,2,lento veces reconoce apps bancos,lento veces reconoce apps bancos,lento vez reconocer apps banco,"['lento', 'vez', 'reconocer', 'apps', 'banco']"
la applicacion ya no funciona bien y me sale error a cada rato,1,0,applicacion funciona bien sale error cada rato,applicacion funciona bien sale error cada rato,applicacion funcionar bien salir error cada rato,"['applicacion', 'funcionar', 'bien', 'salir', 'error', 'cada', 'rato']"
Pésima aplicación,1,0,pésima aplicación,pesima aplicacion,pesimar aplicacion,"['pesimar', 'aplicacion']"
yaaaa puede ser,5,0,yaaaa puede ser,yaaaa puede ser,yaaaa poder ser,"['yaaaa', 'poder', 'ser']"
una macana la app tuve q desinstalarlo ...y ahora no quiere instalarse,1,0,macana app q desinstalarlo ahora quiere instalarse,macana app q desinstalarlo ahora quiere instalarse,macana app desinstalar él ahora querer instalar él,"['macana', 'app', 'desinstalar', 'él', 'ahora', 'querer', 'instalar', 'él']"
"muy mala aplicación, no tiene optimización al momento de hacer pagos QR",1,0,mala aplicación optimización momento hacer pagos qr,mala aplicacion optimizacion momento hacer pagos qr,malo aplicacion optimizacion momento hacer pago,"['malo', 'aplicacion', 'optimizacion', 'momento', 'hacer', 'pago']"
nose funciona que pasó pago mis tatos y nada creoo que 🤔 🤷,1,0,nose funciona pasó pago tatos creoo 🤔 🤷,nose funciona paso pago tatos creoo 🤔 🤷,no él funcionar paso pago tato creoo,"['no', 'él', 'funcionar', 'paso', 'pago', 'tato', 'creoo']"
no m3rece nada es pele,1,0,mrece pele,mrece pele,mrece pele,"['mrece', 'pele']"
exelente gracias,5,0,exelente gracias,excelente gracias,excelente gracia,"['excelente', 'gracia']"
compre paquetes me desconto pero nunca llego pesimo servicio no la recomiendo,1,0,compre paquetes desconto nunca llego pesimo servicio recomiendo,compre paquetes desconto nunca llego pesimo servicio recomiendo,compre paquet desconto nunca llego pesimo servicio recomeir,"['compre', 'paquet', 'desconto', 'nunca', 'llego', 'pesimo', 'servicio', 'recomeir']"
"la mejor app , mejor que yape.",5,0,mejor app mejor yape,mejor app mejor yape,mejor app mejor yape,"['mejor', 'app', 'mejor', 'yape']"
Muy buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
por me llega que cuenta tengo o donde puedo reclamar si no es satisfecho,2,1,llega cuenta puedo reclamar si satisfecho,llega cuenta puedo reclamar si satisfecho,llegar cuenta poder reclamar satisfecho,"['llegar', 'cuenta', 'poder', 'reclamar', 'satisfecho']"
excelente,5,0,excelente,excelente,excelente,['excelente']
me gustó bien nomás la app,5,0,gustó bien nomás app,gusto bien nomas app,gusto bien noma app,"['gusto', 'bien', 'noma', 'app']"
no te quieren devolver el dinero no son transparentes el dueño del banco no ayuda en nada,1,0,quieren devolver dinero transparentes dueño banco ayuda,quieren devolver dinero transparentes dueno banco ayuda,querer devolver dinero transparente dueno banco ayuda,"['querer', 'devolver', 'dinero', 'transparente', 'dueno', 'banco', 'ayuda']"
excelente,5,0,excelente,excelente,excelente,['excelente']
satisfecho con la ap,4,0,satisfecho ap,satisfecho ap,satisfecho,['satisfecho']
esta super,5,0,super,super,super,['super']
"Buena app, sencilla y facil de usar para pagar",5,0,buena app sencilla facil usar pagar,buena app sencilla facil usar pagar,buen app sencillo facil usar pagar,"['buen', 'app', 'sencillo', 'facil', 'usar', 'pagar']"
a veces se tranca y no realiza la operación. deben mejorar la aplicacion,3,0,veces tranca realiza operación deben mejorar aplicacion,veces tranca realiza operacion deben mejorar aplicacion,vez tranca realizar operacion deber mejorar aplicacion,"['vez', 'tranca', 'realizar', 'operacion', 'deber', 'mejorar', 'aplicacion']"
no se puede pagar quiero pagar y me sale error tarda arto,1,2,puede pagar quiero pagar sale error tarda arto,puede pagar quiero pagar sale error tarda arto,poder pagar querer pagar salir error tardar arto,"['poder', 'pagar', 'querer', 'pagar', 'salir', 'error', 'tardar', 'arto']"
problemas al ingresar o al iniciar sesión,1,0,problemas ingresar iniciar sesión,problemas ingresar iniciar sesion,problema ingresar iniciar sesion ,"['problema', 'ingresar', 'iniciar', 'sesion']"
la aplicación pésima no les recomiendo ya no puedo entrar ala aplicación para verificar mi saldo me sale error tras error que ratas páresen tengo mucho saldo ay y no puedo ingresar 😏😏,1,5,aplicación pésima recomiendo puedo entrar ala aplicación verificar saldo sale error tras error ratas páresen saldo ay puedo ingresar 😏😏,aplicacion pesima recomiendo puedo entrar ala aplicacion verificar saldo sale error tras error ratas paresen saldo ay puedo ingresar 😏😏,aplicacion pesima recomeir poder entrar ala aplicacion verificar saldo salir error tras error rata paresen saldo poder ingresar,"['aplicacion', 'pesima', 'recomeir', 'poder', 'entrar', 'ala', 'aplicacion', 'verificar', 'saldo', 'salir', 'error', 'tras', 'error', 'rata', 'paresen', 'saldo', 'poder', 'ingresar']"
súper bien ahora lo que necesites,5,0,súper bien ahora necesites,super bien ahora necesites,super bien ahora necesit,"['super', 'bien', 'ahora', 'necesit']"
no quiere transferir,1,1,quiere transferir,quiere transferir,querer transferir,"['querer', 'transferir']"
exelente,5,0,exelente,excelente,excelente,['excelente']
"a veces falla y no se puede hacer los pagos por QR, y es muy lento",2,1,veces falla puede hacer pagos qr lento,veces falla puede hacer pagos qr lento,vez fallo poder hacer pago lento,"['vez', 'fallo', 'poder', 'hacer', 'pago', 'lento']"
muy buenas app,5,0,buenas app,buenas app,buena app,"['buena', 'app']"
una desgracia no lo recomiendo. en un principio se hacía rápido las transferencias ahora duran hasta 5 minutos en cargar la transferencia o a veces simplemente te sale error,1,2,desgracia recomiendo principio hacía rápido transferencias ahora duran minutos cargar transferencia veces simplemente sale error,desgracia recomiendo principio hacia rapido transferencias ahora duran minutos cargar transferencia veces simplemente sale error,desgracia recomeir principio hacia rapido transferencia ahora durar minuto cargar transferencia vez simplemente salir error,"['desgracia', 'recomeir', 'principio', 'hacia', 'rapido', 'transferencia', 'ahora', 'durar', 'minuto', 'cargar', 'transferencia', 'vez', 'simplemente', 'salir', 'error']"
Hay errores no funciona adecuadamente. El extracto por mes y ingreso-gasto del día. Aparece error,3,1,errores funciona adecuadamente extracto mes ingresogasto día aparece error,errores funciona adecuadamente extracto mes ingresogasto dia aparece error,error funcionar adecuadamente extracto mes ingresogasto diar aparecer error,"['error', 'funcionar', 'adecuadamente', 'extracto', 'mes', 'ingresogasto', 'diar', 'aparecer', 'error']"
"no puedo entrar a mi cuenta, me sale un mensaje de que ocucrrio un error y que intente en unos minutos desde hace semanas",1,2,puedo entrar cuenta sale mensaje ocucrrio error intente minutos hace semanas,puedo entrar cuenta sale mensaje ocucrrio error intente minutos hace semanas,poder entrar cuenta salir mensaje ocucrrio error intentar minuto hacer semana,"['poder', 'entrar', 'cuenta', 'salir', 'mensaje', 'ocucrrio', 'error', 'intentar', 'minuto', 'hacer', 'semana']"
"no puedo hacer envíos por QR mal ahí, Lee el QR pero no puedo realizar el envío me gustaba su funcionalidad pero muy mal esto que está pasando",1,0,puedo hacer envíos qr mal ahí lee qr puedo realizar envío gustaba funcionalidad mal pasando,puedo hacer envios qr mal ahi lee qr puedo realizar envio gustaba funcionalidad mal pasando,poder hacer envio mal ahi lee poder realizar envio gustar funcionalidad mal pasar,"['poder', 'hacer', 'envio', 'mal', 'ahi', 'lee', 'poder', 'realizar', 'envio', 'gustar', 'funcionalidad', 'mal', 'pasar']"
"Que desastre, sigo sin poder comprarme paquetes de megas para mí línea entel sigue apareciendo ese mensaje ""los siento ocurrió un error intenta de nuevo más tarde""",4,2,desastre sigo poder comprarme paquetes megas línea entel sigue apareciendo mensaje siento ocurrió error intenta nuevo tarde,desastre sigo poder comprarme paquetes megas linea entel sigue apareciendo mensaje siento ocurrio error intenta nuevo tarde,desastre seguir poder comprarme paquete mega line entel seguir aparecer mensaje siento ocurrio error intentar nuevo tarde,"['desastre', 'seguir', 'poder', 'comprarme', 'paquete', 'mega', 'line', 'entel', 'seguir', 'aparecer', 'mensaje', 'siento', 'ocurrio', 'error', 'intentar', 'nuevo', 'tarde']"
como lo puedo actualizar al toke no iiere actualizar ...quiero una ayuda rápida,1,1,puedo actualizar toke iiere actualizar quiero ayuda rápida,puedo actualizar toke iiere actualizar quiero ayuda rapida,poder actualizar toke iierir actualizar quiero ayuda rapido,"['poder', 'actualizar', 'toke', 'iierir', 'actualizar', 'quiero', 'ayuda', 'rapido']"
"la aplicación está bien, pero hay ocasiones donde no funciona, me depositaron y no me llega el monto, es un problema recurrente y estresante de verdad arreglen eso estaría bien, cabe recalcar que al momento que me quisieron volver a depositar al mismo QR sale que la banca móvil (altoke) no está disponible.",1,33,aplicación bien ocasiones funciona depositaron llega monto problema recurrente estresante verdad arreglen bien cabe recalcar momento quisieron volver depositar mismo qr sale banca móvil altoke disponible,aplicacion bien ocasiones funciona depositaron llega monto problema recurrente estresante verdad arreglen bien cabe recalcar momento quisieron volver depositar mismo qr sale banca movil altoke disponible,aplicacion bien ocasión funcionar depositar llegar monto problema recurrente estresante verdad arreglir bien caber recalcar momento querer volver depositar mismo salir banco movil altoke disponible,"['aplicacion', 'bien', 'ocasión', 'funcionar', 'depositar', 'llegar', 'monto', 'problema', 'recurrente', 'estresante', 'verdad', 'arreglir', 'bien', 'caber', 'recalcar', 'momento', 'querer', 'volver', 'depositar', 'mismo', 'salir', 'banco', 'movil', 'altoke', 'disponible']"
no deja que pague a otra cuenta o a algún servicio,1,0,deja pague cuenta algún servicio,deja pague cuenta algun servicio,dejar pagar cuenta algun servicio,"['dejar', 'pagar', 'cuenta', 'algun', 'servicio']"
"Ya dos veces hago un pago por QR y no le llega al destinatario, reclamo y tengo que esperar 3 días, luego me dicen que ya se debitó, pero los comerciantes indican que no les llegó nunca. Mal servicio de atención al cliente.",1,15,dos veces hago pago qr llega destinatario reclamo esperar días luego dicen debitó comerciantes indican llegó nunca mal servicio atención cliente,dos veces hago pago qr llega destinatario reclamo esperar dias luego dicen debito comerciantes indican llego nunca mal servicio atencion cliente,dos vez hacer pago llegar destinatario reclamo esperar dia luego decir debitir comerciante indicar llego nunca mal servicio atencion cliente,"['dos', 'vez', 'hacer', 'pago', 'llegar', 'destinatario', 'reclamo', 'esperar', 'dia', 'luego', 'decir', 'debitir', 'comerciante', 'indicar', 'llego', 'nunca', 'mal', 'servicio', 'atencion', 'cliente']"
muy mal su actuación 🎭 se queda contando en cargado y puedo retirar mi dinero 💰,1,1,mal actuación 🎭 queda contando cargado puedo retirar dinero 💰,mal actuacion 🎭 queda contando cargado puedo retirar dinero 💰,mal actuacion quedar contar cargado poder retirar dinero,"['mal', 'actuacion', 'quedar', 'contar', 'cargado', 'poder', 'retirar', 'dinero']"
muy lenta,1,0,lenta,lenta,lento,['lento']
una basura de aplicación no la recomiendo por nada,1,1,basura aplicación recomiendo,basura aplicacion recomiendo,basura aplicacion recomeir,"['basura', 'aplicacion', 'recomeir']"
Porque no puedo entrar a mi cuenta desde otro celular que el anterior celular ya no me sirve y quiero ingresar desde otro celular,2,1,puedo entrar cuenta celular anterior celular sirve quiero ingresar celular,puedo entrar cuenta celular anterior celular sirve quiero ingresar celular,poder entrar cuenta celular anterior celular servir querer ingresar celular,"['poder', 'entrar', 'cuenta', 'celular', 'anterior', 'celular', 'servir', 'querer', 'ingresar', 'celular']"
que es muy buena,5,0,buena,buena,buen,['buen']
"Se supone que la función ""cobra por mi"" solo debería registrar los QRs de la tienda y no todos los que le llega Pésima app",1,1,supone función cobra solo debería registrar qrs tienda llega pésima app,supone funcion cobra solo deberia registrar qrs tienda llega pesima app,suponer funcion cobrar solo deberio registrar qrs tienda llega pesimo app,"['suponer', 'funcion', 'cobrar', 'solo', 'deberio', 'registrar', 'qrs', 'tienda', 'llega', 'pesimo', 'app']"
funciona correctamente recomiendo,5,1,funciona correctamente recomiendo,funciona correctamente recomiendo,funcionar correctamente recomeir,"['funcionar', 'correctamente', 'recomeir']"
muy buena,5,0,buena,buena,buen,['buen']
es muy buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
bueno,5,0,bueno,bueno,bueno,['bueno']
A mi me a funcionado bien lo que no me gusto es que te cibren una comision mensual que se te es descintado de tu dinero asi que ahi pesimo robo de frente cuando de nuestros dineros ellos facilitan prestamos y ganan dinero,1,1,funcionado bien gusto cibren comision mensual descintado dinero asi ahi pesimo robo frente dineros facilitan prestamos ganan dinero,funcionado bien gusto cibren comision mensual descintado dinero asi ahi pesimo robo frente dineros facilitan prestamos ganan dinero,funcionado bien gusto cibrar comision mensual descintado dinero asi ahi pesimo robo frente dinero facilitar prestamo ganar dinero,"['funcionado', 'bien', 'gusto', 'cibrar', 'comision', 'mensual', 'descintado', 'dinero', 'asi', 'ahi', 'pesimo', 'robo', 'frente', 'dinero', 'facilitar', 'prestamo', 'ganar', 'dinero']"
pesimaa app.,1,0,pesimaa app,pesimaa app,pesimaa app,"['pesimaa', 'app']"
buena la app,5,0,buena app,buena app,buen app,"['buen', 'app']"
hasta el momento no tengo inconvenientes puedo pagar por qr puedo pagar telecomunicaciones luz recargas entre otras cosas mas me facilita mas muy buena plataforma,5,0,momento inconvenientes puedo pagar qr puedo pagar telecomunicaciones luz recargas cosas mas facilita mas buena plataforma,momento inconvenientes puedo pagar qr puedo pagar telecomunicaciones luz recargas cosas mas facilita mas buena plataforma,momento inconveniente poder pagar poder pagar telecomunicación luz recarga cosa mas facilitar mas buen plataforma,"['momento', 'inconveniente', 'poder', 'pagar', 'poder', 'pagar', 'telecomunicación', 'luz', 'recarga', 'cosa', 'mas', 'facilitar', 'mas', 'buen', 'plataforma']"
No puedo recuperar mi cuenta hace ya dos meses,1,1,puedo recuperar cuenta hace dos meses,puedo recuperar cuenta hace dos meses,poder recuperar cuenta hacer dos mes,"['poder', 'recuperar', 'cuenta', 'hacer', 'dos', 'mes']"
"Me cobraron, comisión por algunas transacciones vía QRs. Y al momento de activarlo me dijeron q no cobrarían comisiones",4,0,cobraron comisión transacciones vía qrs momento activarlo dijeron q cobrarían comisiones,cobraron comision transacciones via qrs momento activarlo dijeron q cobrarian comisiones,cobrar comision transacción via qrs momento activar él decir cobrariar comisión,"['cobrar', 'comision', 'transacción', 'via', 'qrs', 'momento', 'activar', 'él', 'decir', 'cobrariar', 'comisión']"
es muy buena la aplicación y muy rápida,5,1,buena aplicación rápida,buena aplicacion rapida,buen aplicacion rapido,"['buen', 'aplicacion', 'rapido']"
