content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
súper bien,5,0,súper bien,super bien,super bien
buena,5,0,buena,buena,buen
la rapides,5,0,rapides,rapides,rapid
Nose como actualizar,1,0,nose actualizar,nose actualizar,no él actualizar
no da la aplicación,1,1,da aplicación,da aplicacion,dar aplicacion
buena atencion,5,0,buena atencion,buena atencion,buen atencion
muy buena,5,0,buena,buena,buen
todo iba bien hasta que piden actualizar la app y esto no tiene pa actualizar.... que pasa alguien me explica,2,2,iba bien piden actualizar app pa actualizar pasa alguien explica,iba bien piden actualizar app pa actualizar pasa alguien explica,ir bien pedir actualizar app pa actualizar pasar alguien explicar
No acepta actualizacion,1,1,acepta actualizacion,acepta actualizacion,aceptar actualizacion
buena,5,0,buena,buena,buen
Bueno,4,0,bueno,bueno,bueno
buena app te facilita la vida,5,0,buena app facilita vida,buena app facilita vida,buen app facilitar vida
utilice la aplicación ni dos meses me pidio actualizar mi dispositivo y no me parece que eso tenga que ser un impedimento para realizar mis transacciones,1,1,utilice aplicación dos meses pidio actualizar dispositivo parece ser impedimento realizar transacciones,utilice aplicacion dos meses pidio actualizar dispositivo parece ser impedimento realizar transacciones,utilizar aplicacion dos mes pidio actualizar dispositivo parecer ser impedimento realizar transacción
excelente,5,0,excelente,excelente,excelente
Es buen la aplicación pero no te deja hacer transferencias desde el exterior como otras app,3,2,buen aplicación deja hacer transferencias exterior app,buen aplicacion deja hacer transferencias exterior app,buen aplicacion dejar hacer transferencia exterior app
muy lento,3,0,lento,lento,lento
"pésima aplicación, hace una hora que no puedo transferir mi dinero, ni retirarlo, busquen solución para está aplicación espero puedan mejorarla y hacerlas más fáciles las transferencias. 😮‍💨",1,8,pésima aplicación hace hora puedo transferir dinero retirarlo busquen solución aplicación espero puedan mejorarla hacerlas fáciles transferencias 😮‍💨,pesima aplicacion hace hora puedo transferir dinero retirarlo busquen solucion aplicacion espero puedan mejorarla hacerlas faciles transferencias 😮‍💨,pesimar aplicacion hacer hora poder transferir dinero retirar él buscar solucion aplicacion esperar poder mejorar él hacer él facil transferencia 😮 ‍ 💨
BIEN,5,0,bien,bien,bien
se traba,1,0,traba,traba,trar
no sirve está aplicación por qué no me deja ni siquiera registrarme exijo una solución,1,0,sirve aplicación deja siquiera registrarme exijo solución,sirve aplicacion deja siquiera registrarme exijo solucion,servir aplicacion dejar siquiera registrar yo exijo solucion
exelente,5,0,exelente,excelente,excelente
"Mejoraron la velocidad de transferencia, me gusta que ahora si llegue rápido las transferencias aunque para depositar se debe registrar el biométrico en las agencias pero me agrada que esta app sea una de las pocas en tener una cuenta en el banco y no solamente una billetera móvil",5,55,mejoraron velocidad transferencia gusta ahora si llegue rápido transferencias aunque depositar debe registrar biométrico agencias agrada app pocas tener cuenta banco solamente billetera móvil,mejoraron velocidad transferencia gusta ahora si llegue rapido transferencias aunque depositar debe registrar biometrico agencias agrada app pocas tener cuenta banco solamente billetera movil,mejorar velocidad transferencio gusto ahora si llegar rapido transferencia aunque depositar deber registrar biometrico agencia agrado app poco tener contar banco solamente billetera movil
buens,5,0,buens,buens,buens
Muy buena opción,5,0,buena opción,buena opcion,buen opcion
"La aplicación recién me la instale y todo el tiempo no quiere dar me sale actualizar, todo el tiempo",1,3,aplicación recién instale tiempo quiere dar sale actualizar tiempo,aplicacion recien instale tiempo quiere dar sale actualizar tiempo,aplicacion recien instalar tiempo querer dar sale actualizar tiempo
me pide actualisarlo para poder entrar,5,0,pide actualisarlo poder entrar,pide actualisarlo poder entrar,pedir actualisar él poder entrar
bien,5,0,bien,bien,bien
buenísimo,5,0,buenísimo,buenisimo,buenisimo
"la aplicación no es muy buena, en varias ocasiones me aparece como si no tuviera saldo, ahora me pide actualizar para abrir aplicación y no actualiza",1,1,aplicación buena varias ocasiones aparece si saldo ahora pide actualizar abrir aplicación actualiza,aplicacion buena varias ocasiones aparece si saldo ahora pide actualizar abrir aplicacion actualiza,aplicacion buen varios ocasión aparecer si saldo ahora pedir actualizar abrir aplicacion actualizar
muy buena,5,0,buena,buena,buen
me parece buena,5,0,parece buena,parece buena,parecer buen
"No hay dónde comunicarse, no sé que pasó con la app pero no me deja ni sacarme la foto para la recuperación de contraseña... mandé mensaje a facebook y nadie contesta, justo necesito el dinero porque estoy en emergencias y es un gran perjuicio.",1,17,dónde comunicarse sé pasó app deja sacarme foto recuperación contraseña mandé mensaje facebook nadie contesta justo necesito dinero emergencias gran perjuicio,donde comunicarse se paso app deja sacarme foto recuperacion contrasena mande mensaje facebook nadie contesta justo necesito dinero emergencias gran perjuicio,donde comunicar él él paso app dejar sacar yo foto recuperacion contrasena mandir mensaje facebook nadie contestar justo necesitar dinero emergencia gran perjuicio
exelente,3,0,exelente,excelente,excelente
buena,5,0,buena,buena,buen
se traba a cada rato y los cajeros no funcionan ni con tarjeta,1,1,traba cada rato cajeros funcionan tarjeta,traba cada rato cajeros funcionan tarjeta,trar cada rato cajero funcionar tarjeta
me pide actualizar y cuando lo hago no puedo ingresar,1,1,pide actualizar hago puedo ingresar,pide actualizar hago puedo ingresar,pedir actualizar hago poder ingresar
bien,5,0,bien,bien,bien
exelente,5,0,exelente,excelente,excelente
lo bueno es que se puede guardar los servicios y pagar fácil con dos clicks,5,2,bueno puede guardar servicios pagar fácil dos clicks,bueno puede guardar servicios pagar facil dos clicks,bueno poder guardar servicio pagar facil dos click
buenas,2,0,buenas,buenas,buena
Ya lo tengo 2 días usando y no me agrada que tarde muchos tiempo en enviar dinero por QR pero para recibir dinero si llega rápido,3,1,días usando agrada tarde tiempo enviar dinero qr recibir dinero si llega rápido,dias usando agrada tarde tiempo enviar dinero qr recibir dinero si llega rapido,dia usar agrado tarde tiempo enviar dinero qr recibir dinero si llegar rapido
muy buena,4,0,buena,buena,buen
muy buena app,4,0,buena app,buena app,buen app
no se puede depositar de vota de la app,2,1,puede depositar vota app,puede depositar vota app,poder depositar vota app
buena,3,0,buena,buena,buen
bien,4,0,bien,bien,bien
buenas tardes la app del altoke no me deja entrar ami cuenta y me preocupa por tengo dinero ay,2,0,buenas tardes app altoke deja entrar ami cuenta preocupa dinero ay,buenas tardes app altoke deja entrar ami cuenta preocupa dinero ay,buena tarde app altoke dejar entrar ami cuenta preocupo dinero ay
esta muy mala me pide actualizar y no hay actualización disponible,1,0,mala pide actualizar actualización disponible,mala pide actualizar actualizacion disponible,malo pedir actualizar actualizacion disponible
no puedo entrar al ap,5,2,puedo entrar ap,puedo entrar ap,poder entrar ap
al comienzo todo perfecto pero ya van a ser 5 dias q no puedo ingresar a mi cuenta me pide q actualize y ya desinstalé e instale y sigue el problema,1,1,comienzo perfecto van ser dias q puedo ingresar cuenta pide q actualize desinstalé instale sigue problema,comienzo perfecto van ser dias q puedo ingresar cuenta pide q actualize desinstale instale sigue problema,comienzo perfecto ir ser dia q poder ingresar cuenta pedir q actualize desinstale instalar seguir problema
buena,5,0,buena,buena,buen
bueno,4,0,bueno,bueno,bueno
"Estaba funcionando muy bien hasta que urguetearon no se que, y ahora solo sale error. Dice actualizar y no actualiza.",1,0,funcionando bien urguetearon ahora solo sale error dice actualizar actualiza,funcionando bien urguetearon ahora solo sale error dice actualizar actualiza,funcionar bien urguetear ahora solo salir error decir actualizar actualizo
un poco lento el sistema,2,0,lento sistema,lento sistema,lento sistema
Medio mal,2,0,medio mal,medio mal,medio mal
está muy mala la aplicación,3,0,mala aplicación,mala aplicacion,malo aplicacion
si yo igual creado mi cuenta ahora pago mis facturas al día,5,0,si igual creado cuenta ahora pago facturas día,si igual creado cuenta ahora pago facturas dia,si igual creado contar ahora pago factura diar
no quiere actualizarse,1,1,quiere actualizarse,quiere actualizarse,querer actualizar él
no puedo entrar a la aplicación quise pagar por QR y no funciona me bota a inicio,1,3,puedo entrar aplicación quise pagar qr funciona bota inicio,puedo entrar aplicacion quise pagar qr funciona bota inicio,poder entrar aplicacion querer pagar qr funcionar boto inicio
muy bueno,5,0,bueno,bueno,bueno
me pide actualización pero en el play store no me ofrece actualización. 🥲 no puedo usar la aplicación.,3,1,pide actualización play store ofrece actualización 🥲 puedo usar aplicación,pide actualizacion play store ofrece actualizacion 🥲 puedo usar aplicacion,pedir actualizacion play storar ofrecer actualizacion 🥲 poder usar aplicacion
"pésima aplicación no te deja mover nada del dinero, se traba con todas las transferencias y así se queda por días, solo funciona la primera transacción que hagas luego no te deja pagar qr o transferir, tu dinero se queda estancado🤬",1,6,pésima aplicación deja mover dinero traba todas transferencias así queda días solo funciona primera transacción hagas luego deja pagar qr transferir dinero queda estancado🤬,pesima aplicacion deja mover dinero traba todas transferencias asi queda dias solo funciona primera transaccion hagas luego deja pagar qr transferir dinero queda estancado🤬,pesimar aplicacion dejar mover dinero trar todo transferencia asi quedar dia solo funcionar primero transaccion haga luego dejar pagar qr transferir dinero quedar estancado 🤬
no resulta tan buena se me cuelga a cada rato,2,0,resulta tan buena cuelga cada rato,resulta tan buena cuelga cada rato,resultar tanto buen colgar cada rato
"no me deja entra,me pide actualización y no hay más actualización ya voy una semana sin poder usar nada",1,0,deja entrame pide actualización actualización voy semana poder usar,deja entrame pide actualizacion actualizacion voy semana poder usar,dejar entrame pedir actualizacion actualizacion voy semana poder usar
buena,5,3,buena,buena,buen
Buena,2,0,buena,buena,buen
"Ya será una semana que no puedo ingresar a la aplicación, me pide actualización y no hay más actualización. Fui al banco para que me den una solución y tampoco me dieron una. Antes estaba funcionando bien y no tenía problemas.",1,33,semana puedo ingresar aplicación pide actualización actualización banco den solución tampoco dieron funcionando bien problemas,semana puedo ingresar aplicacion pide actualizacion actualizacion banco den solucion tampoco dieron funcionando bien problemas,semana poder ingresar aplicacion pedir actualizacion actualizacion banco dar solucion tampoco dar funcionar bien problema
no sé porq me pide actualizar si no abre la aplicación,1,0,sé porq pide actualizar si abre aplicación,se porq pide actualizar si abre aplicacion,él porq pedir actualizar si abrir aplicacion
bien,5,0,bien,bien,bien
los depósitos son muy lentos muy demoroso en su actualización de saldo,1,1,depósitos lentos demoroso actualización saldo,depositos lentos demoroso actualizacion saldo,deposito lento demoroso actualizacion saldo
lo mejor que pueda ver,5,1,mejor pueda ver,mejor pueda ver,mejor poder ver
bien,5,0,bien,bien,bien
la mejor banca,5,0,mejor banca,mejor banca,mejor banca
muy buena aplicación,5,1,buena aplicación,buena aplicacion,buen aplicacion
me sale error en mi tablets 😭😭😭😭 y trabajo con eso 😭😭😭😭😭,1,11,sale error tablets 😭😭😭😭 trabajo 😭😭😭😭😭,sale error tablets 😭😭😭😭 trabajo 😭😭😭😭😭,salir error tablets 😭 😭 😭 😭 trabajo 😭 😭 😭 😭 😭
me pide actualizar pero ya lo hice después que hay problemas de servicio ya lo estoy intentando 2 días con hoy serán 3,1,2,pide actualizar hice después problemas servicio intentando días hoy,pide actualizar hice despues problemas servicio intentando dias hoy,pedir actualizar hacer despu problema servicio intentar dia hoy
hasta ahora todo está bien solo q falta q te llegue una notificación cuando te depositan,5,1,ahora bien solo q falta q llegue notificación depositan,ahora bien solo q falta q llegue notificacion depositan,ahora bien solo q faltar q llegar notificacion depositar
lo malo es q no se puede entrar sin internet,3,0,malo q puede entrar internet,malo q puede entrar internet,malo q poder entrar internet
muy rápido,5,0,rápido,rapido,rapido
bueno,5,0,bueno,bueno,bueno
lindo,4,0,lindo,lindo,lindo
buena,5,0,buena,buena,buen
Buena,5,0,buena,buena,buen
muy buena,5,0,buena,buena,buen
"buena, facilita muchas cosas banco sol sigue así adelante",5,1,buena facilita muchas cosas banco sol sigue así adelante,buena facilita muchas cosas banco sol sigue asi adelante,buen facilitar mucho cosa banco sol seguir asi adelante
es genial,4,0,genial,genial,genial
un desastre esta app,1,1,desastre app,desastre app,desastre app
de la nada se me cerró mi sesión de ingreso cuando puse mi número de celular y contraseña no me deja entrar creo que altoke me está robando,5,0,cerró sesión ingreso puse número celular contraseña deja entrar creo altoke robando,cerro sesion ingreso puse numero celular contrasena deja entrar creo altoke robando,cerro sesion ingreso puse numero celular contrasena dejar entrar creer altoke robar
"pésima aplicación lenta se cae igual q yape, pésima atención al cliente lenta no sirve para negocio no te llega la notificación aunque la tengas activada, tarda arto cuando quieres pagar.",1,12,pésima aplicación lenta cae igual q yape pésima atención cliente lenta sirve negocio llega notificación aunque activada tarda arto quieres pagar,pesima aplicacion lenta cae igual q yape pesima atencion cliente lenta sirve negocio llega notificacion aunque activada tarda arto quieres pagar,pesimar aplicacion lento caer igual q yape pesima atencion cliente lento servir negocio llegar notificacion aunque activado tardar arto quier pagar
Buena,5,0,buena,buena,buen
pésima aplicación,1,0,pésima aplicación,pesima aplicacion,pesimar aplicacion
Excelente aplicacion,5,0,excelente aplicacion,excelente aplicacion,excelente aplicacion
muy buena aplicacion,5,1,buena aplicacion,buena aplicacion,buen aplicacion
muy mala,1,1,mala,mala,malo
"pesima aplicacion, no la recomiendo para nada, se buguea muchas veces y no funciona para hacer pagos",1,3,pesima aplicacion recomiendo buguea muchas veces funciona hacer pagos,pesima aplicacion recomiendo buguea muchas veces funciona hacer pagos,pesimar aplicacion recomeir buguea mucho vez funcionar hacer pago
No puedo ingresar contraseña,5,0,puedo ingresar contraseña,puedo ingresar contrasena,poder ingresar contrasena
la app no cumple su único propósito 👎,1,0,app cumple único propósito 👎,app cumple unico proposito 👎,app cumplir unico proposito 👎
"sigue sin funcionar, no deja ingresar",1,1,sigue funcionar deja ingresar,sigue funcionar deja ingresar,seguir funcionar dejar ingresar
tengo bastante problemas,1,0,bastante problemas,bastante problemas,bastante problema
muy lenta y cuando necitas abrila se sierra no se puede aser nada,1,2,lenta necitas abrila sierra puede aser,lenta necitas abrila sierra puede hacer,lento necita abrila sierra poder hacer
recién empecé,1,0,recién empecé,recien empece,recien empecir
Muy buena,5,0,buena,buena,buen
Rápida y eficaz.,5,0,rápida eficaz,rapida eficaz,rapido eficaz
magnifico,5,0,magnifico,magnifico,magnifico
es una aplicacion horrible xq ya van dos veces q cambio la contraseña y ni siquiera me estoy equivocando no me da la contraseña no se las recomiendo es una porqueria,1,3,aplicacion horrible xq van dos veces q cambio contraseña siquiera equivocando da contraseña recomiendo porqueria,aplicacion horrible xq van dos veces q cambio contrasena siquiera equivocando da contrasena recomiendo porqueria,aplicacion horrible xq ir dos vez q cambio contrasenar siquiera equivocar dar contrasena recomeir porquerio
es efectivo y buena,5,0,efectivo buena,efectivo buena,efectivo buen
"una lágrima su app deficiente, si es mala no la promocionen, perjudican",1,0,lágrima app deficiente si mala promocionen perjudican,lagrima app deficiente si mala promocionen perjudican,lagrimo app deficiente si malo promocionir perjudicar
buena transferencia,5,0,buena transferencia,buena transferencia,buen transferencia
la recomiendo,5,0,recomiendo,recomiendo,recomeir
esta aplicación no sirve para nada todo el momento es lento,1,3,aplicación sirve momento lento,aplicacion sirve momento lento,aplicacion servir momento lento
bueno está la app,4,0,bueno app,bueno app,bueno app
Q es muy efectivo,3,0,q efectivo,q efectivo,q efectivo
muy bien,5,0,bien,bien,bien
bien,5,0,bien,bien,bien
buena muy,3,0,buena,buena,buen
Es un meto fácil,5,0,meto fácil,meto facil,meto facil
excelente,5,0,excelente,excelente,excelente
que pasa con la aplicación no quiere dar,3,0,pasa aplicación quiere dar,pasa aplicacion quiere dar,pasar aplicacion querer dar
excelente,5,0,excelente,excelente,excelente
muy mala,1,0,mala,mala,malo
excelente,5,0,excelente,excelente,excelente
cómodo,4,0,cómodo,comodo,comodo
me está fallando y no puedo ingresar a mi cuenta aún colocando mis datos correctos que sucede. me desespera.,1,1,fallando puedo ingresar cuenta aún colocando datos correctos sucede desespera,fallando puedo ingresar cuenta aun colocando datos correctos sucede desespera,fallar poder ingresar cuenta aun colocar dato correcto suceder desespero
Por que en app altoke no me reconoce el ingreso con huella si esta activado esa opción,2,2,app altoke reconoce ingreso huella si activado opción,app altoke reconoce ingreso huella si activado opcion,app altoke reconocer ingreso huella si activado opcion
muy rapido,5,0,rapido,rapido,rapido
excelente,5,0,excelente,excelente,excelente
óptimo,5,0,óptimo,optimo,optimo
exelente,5,0,exelente,excelente,excelente
es complicado.. muchas veces te pido que vuelva a actualizar y no te deja ingresar,2,1,complicado muchas veces pido vuelva actualizar deja ingresar,complicado muchas veces pido vuelva actualizar deja ingresar,complicado mucho vez pedir volver actualizar dejar ingresar
"un perjuicio total esta aplicacion deja de funcionar en cualquier momento, y perjudica de gran manera a los que tenemos que realizar o recibir pagos, y no hay quien se haga cargo del daño que ocacionan",1,0,perjuicio total aplicacion deja funcionar cualquier momento perjudica gran manera realizar recibir pagos haga cargo daño ocacionan,perjuicio total aplicacion deja funcionar cualquier momento perjudica gran manera realizar recibir pagos haga cargo dano ocacionan,perjuicio total aplicacion dejar funcionar cualquiera momento perjudicar gran manera realizar recibir pago hacer cargo dano ocacionar
no sé puede entrar a app,2,0,sé puede entrar app,se puede entrar app,él poder entrar app
me registre y todo Pero se saturó y no me dejar ocupar el dinero depositado,2,0,registre saturó dejar ocupar dinero depositado,registre saturo dejar ocupar dinero depositado,registre saturo dejar ocupar dinero depositado
super mejor,1,0,super mejor,super mejor,super  mejor
No esta funcionando,1,0,funcionando,funcionando,funcionar
no me gustó que todo el tiempo en transacciones tarde una eternidad en confirmar que de la nada se sierre todo y te pida iniciar toda la sección y por último que la validación de rasgo facial no funcione,1,4,gustó tiempo transacciones tarde eternidad confirmar sierre pida iniciar toda sección último validación rasgo facial funcione,gusto tiempo transacciones tarde eternidad confirmar sierre pida iniciar toda seccion ultimo validacion rasgo facial funcione,gusto tiempo transacción tarde eternidad confirmar sierrir pedir iniciar todo seccion ultimo validacion rasgo facial funcione
El servicio ha caído !!!!alguien mas tiene ese problema .le doy una estrella para que me deje comentar,1,1,servicio caído alguien mas problema doy estrella deje comentar,servicio caido alguien mas problema doy estrella deje comentar,servicio caido alguien mas problema dar estrella dejar comentar
"el peor servicio de app, si ayer nomás me registre, no da ni la huella , y la contraseña , no puedo hacer transacciones , perdida de tiempo",1,12,peor servicio app si ayer nomás registre da huella contraseña puedo hacer transacciones perdida tiempo,peor servicio app si ayer nomas registre da huella contrasena puedo hacer transacciones perdida tiempo,peor servicio app si ayer noma registrar dar huella contrasena poder hacer transacción perdido tiempo
muy buena,5,0,buena,buena,buen
súper,5,0,súper,super,super
no permite restablecer contraseña llevo 2 días con el mismo problema y nada,2,1,permite restablecer contraseña llevo días mismo problema,permite restablecer contrasena llevo dias mismo problema,permitir restablecer contrasena llevar dia mismo problema
facil,5,0,facil,facil,facil
bien,4,0,bien,bien,bien
muy buen,5,1,buen,buen,buen
por qué no quere dar altoke,1,0,quere dar altoke,quere dar altoke,querar dar altoke
muy bueno,5,0,bueno,bueno,bueno
bien,5,0,bien,bien,bien
malísima ahora me dice que no se puede hacer transacciones a otro país y las dos cuentas son de bolivia,1,2,malísima ahora dice puede hacer transacciones país dos cuentas bolivia,malisima ahora dice puede hacer transacciones pais dos cuentas bolivia,malisimo ahora decir poder hacer transacción pai dos cuenta bolivio
buena,3,0,buena,buena,buen
no se pueden registrarse,1,0,pueden registrarse,pueden registrarse,poder registrar él
Es muy buena,4,0,buena,buena,buen
cómodo práctico,5,0,cómodo práctico,comodo practico,comodo practico
"Una experiencia desastrosa, nunca puedo hacer una transferencia rápida, tarda un montón en leer el QR y para aumentar tarda un montón para confirmar el pago.",1,1,experiencia desastrosa nunca puedo hacer transferencia rápida tarda montón leer qr aumentar tarda montón confirmar pago,experiencia desastrosa nunca puedo hacer transferencia rapida tarda monton leer qr aumentar tarda monton confirmar pago,experiencia desastroso nunca poder hacer transferencia rapido tardo monton leer qr aumentar tardar monton confirmar pago
muy buena,5,0,buena,buena,buen
medio,5,0,medio,medio,medio
no la recomiendo la app es muy lenta sucedió que en más de una ocasión en todo el día no funcionó realizar transferencias,1,1,recomiendo app lenta sucedió ocasión día funcionó realizar transferencias,recomiendo app lenta sucedio ocasion dia funciono realizar transferencias,recomeir app lento sucedio ocasion dia funciono realizar transferencia
la aplicación es demasiado lenta aveces que ni logro entrar y no sale ni los movimientos que uno hace esta muy mala haber si logran mejorar,1,3,aplicación demasiado lenta aveces logro entrar sale movimientos hace mala haber si logran mejorar,aplicacion demasiado lenta aveces logro entrar sale movimientos hace mala haber si logran mejorar,aplicacion demasiado lento avez lograr entrar salir movimiento hacer malo haber si lograr mejorar
esta super bien y cómodo.,5,1,super bien cómodo,super bien comodo,super bien comodo
muy lento,1,0,lento,lento,lento
"por que me pide actualización si no hay más actualización, quería activar en mi celular pero me pide foto de el carnet pero mi cámara esa dañada y pues lo trate de crear en otro celular con mi mismo número pero me sale error o actualización, por que no lo hacen fácil esto, siempre tienen sé hacerlo complicado. ni modo lo desinstalare. La que escribe es la mamá de la dueña de esta cuenta.",1,133,pide actualización si actualización quería activar celular pide foto carnet cámara dañada pues trate crear celular mismo número sale error actualización hacen fácil siempre sé hacerlo complicado modo desinstalare escribe mamá dueña cuenta,pide actualizacion si actualizacion queria activar celular pide foto carnet camara danada pues trate crear celular mismo numero sale error actualizacion hacen facil siempre se hacerlo complicado modo desinstalare escribe mama duena cuenta,pedir actualizacion si actualizacion querio activar celular pedir foto carnet camar danado pues tratar crear celular mismo numero salir error actualizacion hacer facil siempre él hacer él complicado modo desinstalare escribir mama duena contar
es rrapido y seguro,5,0,rrapido seguro,rrapido seguro,rrapido seguro
esta muy buena,5,0,buena,buena,buen
antes sin problema y ahora me sale actualizar,5,0,problema ahora sale actualizar,problema ahora sale actualizar,problema ahora salir actualizar
exelente,4,0,exelente,excelente,excelente
buenísima,5,0,buenísima,buenisima,buenisima
fácil de usar,5,1,fácil usar,facil usar,facil usar
Van 3 horas colgado la aplicacion dijeron que en 30 minutos estaria mejor pero nada que hago tengo mi dinero en esta aolivavion. NO LA DESCARGUEN NO FUNCIONA,1,3,van horas colgado aplicacion dijeron minutos estaria mejor hago dinero aolivavion descarguen funciona,van horas colgado aplicacion dijeron minutos estaria mejor hago dinero aolivavion descarguen funciona,ir hora colgado aplicacion decir minuto estario mejor hacer dinero aolivavion descargar funcionar
buena aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
otra ves esta mal su aplicación no sé puede ingredar,1,1,ves mal aplicación sé puede ingredar,ves mal aplicacion se puede ingredar,ver mal aplicacion él poder ingredar
lenta,1,0,lenta,lenta,lento
excelente app Altoke facil y rapido,5,3,excelente app altoke facil rapido,excelente app altoke facil rapido,excelente app altoke facil rapido
facil,5,0,facil,facil,facil
buenas,2,0,buenas,buenas,buena
"sería buena si las transacciones no demoraran mucho en ejecutarse. al pagar por qr, mas de 3 minutos hay que esperar a que se haga la operación. podrían arreglar ese problema?",2,2,buena si transacciones demoraran ejecutarse pagar qr mas minutos esperar haga operación podrían arreglar problema,buena si transacciones demoraran ejecutarse pagar qr mas minutos esperar haga operacion podrian arreglar problema,buen si transacción demorar ejecutar él pagar qr mas minuto esperar hacer operacion podrian arreglar problema
dicen una fecha de expiración ahora salen con expiró antes de ayer....no hay una buena explicación,1,0,dicen fecha expiración ahora salen expiró ayerno buena explicación,dicen fecha expiracion ahora salen expiro ayerno buena explicacion,decir fecha expiracion ahora salir expiro ayerno buen explicacion
muy buena,5,0,buena,buena,buen
buena,5,0,buena,buena,buen
buena,4,0,buena,buena,buen
excelente,5,0,excelente,excelente,excelente
es una buena aplicasion y es recomendable,5,1,buena aplicasion recomendable,buena aplicasion recomendable,buen aplicasion recomendable
super genial,5,0,super genial,super genial,super genial
bien,5,1,bien,bien,bien
q paso con mi app,5,0,q paso app,q paso app,q paso app
es más confiable que yape 😌,5,0,confiable yape 😌,confiable yape 😌,confiable yape 😌
muy buena,5,0,buena,buena,buen
buenas,4,0,buenas,buenas,buena
no puedo registr5me con mi número d celular no me permite,1,1,puedo registrme número d celular permite,puedo registrme numero d celular permite,poder registr yo numero d celular permitir
xq es muy útil,5,0,xq útil,xq util,xq util
la verdad que altoke es bien pero cuando uno se olvida la contraseña sale que tiene que intentar en unos minitos eso es lo pele,5,0,verdad altoke bien olvida contraseña sale intentar minitos pele,verdad altoke bien olvida contrasena sale intentar minitos pele,verdad altoke bien olvidar contrasena salir intentar minito pele
regular,3,0,regular,regular,regular
muy lenta la app y deja de funcionar cuando mas se lo requiere y no es el internet,1,1,lenta app deja funcionar mas requiere internet,lenta app deja funcionar mas requiere internet,lento app dejar funcionar mas requerir internet
super bien,5,0,super bien,super bien,super bien
"La app está bien, pero sería mejor si llega una notificación cuándo me hacen un depósito de esa manera confirmo que me llegó el depósito sin abrir la app",4,59,app bien mejor si llega notificación cuándo hacen depósito manera confirmo llegó depósito abrir app,app bien mejor si llega notificacion cuando hacen deposito manera confirmo llego deposito abrir app,app bien mejor si llegar notificacion cuando hacer deposito manera confirmo llego deposito abrir app
"Pesima no me envian el código para poder crear mi cuanta, ni numero de referencia tiene🤨",1,0,pesima envian código poder crear cuanta numero referencia tiene🤨,pesima envian codigo poder crear cuanta numero referencia tiene🤨,pesimir enviar codigo poder crear cuanta numero referencia tener 🤨
le faltan notificaciones!,3,2,faltan notificaciones,faltan notificaciones,faltar notificación
El servicio de notificaciones de la transferencia de cobro....no aparece en la barra de notificaciones y no confirman con un audio....tarda en aparecer la transferencia o cobro....y eso crea un problema de estafa...esto le da tiempo al picaro para hacer su fechoria.....al contrario de yape que hasta con audio y notificación en barra de notificaciones confirma las transferencias de cobro y lo hace de manera rápida.... Traten de darle solución a este problema..... después todo está bien.,3,56,servicio notificaciones transferencia cobrono aparece barra notificaciones confirman audiotarda aparecer transferencia cobroy crea problema estafaesto da tiempo picaro hacer fechoriaal contrario yape audio notificación barra notificaciones confirma transferencias cobro hace manera rápida traten darle solución problema después bien,servicio notificaciones transferencia cobrono aparece barra notificaciones confirman audiotarda aparecer transferencia cobroy crea problema estafaesto da tiempo picaro hacer fechoriaal contrario yape audio notificacion barra notificaciones confirma transferencias cobro hace manera rapida traten darle solucion problema despues bien,servicio notificación transferenciar cobrono aparecer barra notificación confirmar audiotarda aparecer transferencia cobroy creer problema estafaesto dar tiempo picaro hacer fechoriaal contrario yape audio notificacion barra notificación confirmar transferencia cobro hacer manera rapido tratar dar él solucion problema despues bien
👍,5,0,👍,👍,👍
no me llega las notificaciones a la hora de recibir un toke. y tarda como 10 segundos al realizar al toke,2,0,llega notificaciones hora recibir toke tarda segundos realizar toke,llega notificaciones hora recibir toke tarda segundos realizar toke,llegar notificación hora recibir toke tardar segundo realizar toke
no me quieres dejar cambiar la contraseña pese a que te pide foto me sale error,1,0,quieres dejar cambiar contraseña pese pide foto sale error,quieres dejar cambiar contrasena pese pide foto sale error,quier dejar cambiar contrasena pese pedir foto salir error
No puedo crear mi cuenta me dise error,1,0,puedo crear cuenta dise error,puedo crear cuenta dise error,poder crear cuenta disar error
no puedo registrar ocurrió un error si mis datos están correctos y no hay como comunicarme con un asesor,1,1,puedo registrar ocurrió error si datos correctos comunicarme asesor,puedo registrar ocurrio error si datos correctos comunicarme asesor,poder registrar ocurrio error si dato correcto comunicar yo asesor
pésima la app se corta el servicio muy temprano otras app trabajan 24/7,1,1,pésima app corta servicio temprano app trabajan,pesima app corta servicio temprano app trabajan,pesimo app cortar servicio temprano app trabajar
"Esa parte de referidos es una estafa porque no te dan los 5bs que te indican, pese a que la otra persona recargo los 10Bs que indican o prometen.",2,1,parte referidos estafa dan bs indican pese persona recargo bs indican prometen,parte referidos estafa dan bs indican pese persona recargo bs indican prometen,parte referido estafa dar b indicar pese persona recargo b indicar prometer
Me dio el susto de mi vida. Transferí mi dinero aquí y no llegaba muy lenta,2,0,dio susto vida transferí dinero aquí llegaba lenta,dio susto vida transferi dinero aqui llegaba lenta,dar susto vida transferi dinero aqui llegar lento
